permno,cusip,date,bid,ask,vol,shrout,prc,mktcap,SMA_50,SMA_200,Rolling_Mean,Rolling_Std,Upper_Band,Lower_Band,Signal
10200,75991610,2022-11-10,188.89,189.16,641061.0,55524.0,189.16,10502919.84,,,,,,,0
10200,75991610,2022-11-11,199.28999,199.42999,1024078.0,55524.0,199.28999,11065377.40476,,,,,,,0
10200,75991610,2022-11-14,200.71001,200.83,417890.0,55524.0,200.72,11144777.28,,,,,,,0
10200,75991610,2022-11-15,210.75999,211.12,492427.0,55524.0,210.84,11706680.16,,,,,,,0
10200,75991610,2022-11-16,190.8,190.97,638052.0,55524.0,190.97,10603418.28,,,,,,,0
10200,75991610,2022-11-17,174.57001,174.7,821097.0,55524.0,174.69,9699487.56,,,,,,,0
10200,75991610,2022-11-18,175.88,176.14,582865.0,55524.0,175.92999,9768336.76476,,,,,,,0
10200,75991610,2022-11-21,173.89,174.07001,416442.0,55524.0,174.00999,9661730.684759999,,,,,,,0
10200,75991610,2022-11-22,171.85001,172.0,672488.0,55524.0,171.92,9545686.08,,,,,,,0
10200,75991610,2022-11-23,172.44,172.59,626099.0,55524.0,172.58,9582331.92,,,,,,,0
10200,75991610,2022-11-25,171.58,171.84,259481.0,55524.0,171.58,9526807.92,,,,,,,0
10200,75991610,2022-11-28,171.56,171.74001,797844.0,55524.0,171.64,9530139.36,,,,,,,0
10200,75991610,2022-11-29,167.38,167.49001,669491.0,55524.0,167.49001,9299715.315240001,,,,,,,0
10200,75991610,2022-11-30,178.97,179.00999,3124343.0,55524.0,178.84,9929912.16,,,,,,,0
10200,75991610,2022-12-01,187.98,188.19,708073.0,55524.0,188.17,10447951.08,,,,,,,0
10200,75991610,2022-12-02,186.0,186.12,384427.0,55524.0,186.05,10330240.200000001,,,,,,,0
10200,75991610,2022-12-05,178.61,178.78999,640460.0,55524.0,178.61,9917141.64,,,,,,,0
10200,75991610,2022-12-06,168.88,169.13,580011.0,55524.0,169.13,9390774.12,,,,,,,0
10200,75991610,2022-12-07,170.33,170.53999,435884.0,55524.0,170.33,9457402.92,,,,,,,0
10200,75991610,2022-12-08,173.86,174.06,338896.0,55524.0,173.87,9653957.88,,,180.790999,12.13607579175319,205.06315058350637,156.51884741649363,0
10200,75991610,2022-12-09,163.00999,163.3,480364.0,55524.0,163.32001,9068180.23524,,,179.49899950000002,12.566062067038246,204.63112363407652,154.36687536592353,0
10200,75991610,2022-12-12,166.75,166.88,624182.0,55524.0,166.88,9265845.12,,,177.87849999999997,11.954404324679484,201.78730864935895,153.969691350641,0
10258,15117B20,2022-11-10,37.75,37.8,1186831.0,47100.0,37.8,1780379.9999999998,,,169.73250000000002,32.838002369206635,235.40850473841328,104.05649526158675,0
10258,15117B20,2022-11-11,37.65,37.69,788826.0,47100.0,37.7,1775670.0000000002,,,161.0755,42.75526136438488,246.58602272876976,75.56497727123025,0
10258,15117B20,2022-11-14,36.44,36.47,551426.0,47100.0,36.5,1719150.0,,,153.352,50.34855359726694,254.0491071945339,52.65489280546612,0
